user_id,age,height_cm,current_weight_kg,daily_calories,protein_grams,workout_days_per_week,workout_minutes_per_day,sleep_hours,water_liters,goal_days,final_weight_kg
203,21,165,90.2,3147,157,3,90,5.5,4,30,90.7
204,36,164,94.5,2806,127,3,45,8.4,4.4,90,96.9
205,37,167,51.5,2217,154,7,0,8.9,4.3,120,52.1
206,51,170,87.7,3172,83,4,60,5.3,2.9,45,90.1
207,37,195,56.2,3396,59,6,60,7,1.5,45,57.7
208,39,191,52.5,3342,139,1,90,7.8,1.7,60,56
209,20,154,58.7,2388,167,3,50,5.9,4.2,45,59.9
210,25,180,100.1,2337,146,3,90,5.9,2,75,99.6
211,40,169,62.9,3600,172,7,20,8.1,3.5,60,68.7
212,41,170,71.6,2406,82,0,45,7,3,120,72.1
213,27,162,66.8,3055,190,3,75,7,4.3,60,69
214,49,191,90.2,3387,88,5,30,5.1,2.9,45,93.5
215,52,191,102.6,1638,64,0,0,6.4,3.9,45,99.9
216,27,150,60.5,3367,140,0,75,7.5,1.1,90,66.6
217,18,151,78.2,2625,182,4,0,6.8,3.4,75,80.8
218,29,156,100.3,2109,106,3,90,5.6,2.2,75,97.5
219,43,179,80.2,2425,121,1,0,4.9,2.3,90,80.4
220,18,194,57.8,3547,156,5,20,8.5,4.2,45,60.8
221,54,180,63.5,1804,116,0,30,8.7,2.1,45,62.7
222,43,154,65.1,2484,190,6,90,6,3.6,45,65.6
223,23,182,90.5,2916,58,1,60,5.5,1.3,90,93.4
224,43,170,49.7,2619,160,7,40,6.1,4.3,75,49.9
225,55,192,69.7,2709,108,1,20,5.7,2.3,120,71.4
226,42,170,68.6,1874,46,4,75,6.1,1.9,45,65.7
227,45,178,79.7,3598,149,1,0,4.9,2.9,90,86.6
228,38,174,48.7,3194,144,1,90,8.6,4.4,90,54.1
229,42,160,55.9,2733,113,7,30,4.8,2.5,75,56.4
230,22,173,62.3,2510,171,3,75,5,2.1,75,62.2
231,42,171,73.1,3263,79,4,50,7.2,3.4,75,76.4
232,43,170,64.6,3511,107,5,60,5.8,3.8,60,67.3
233,54,162,81.8,2236,185,0,75,8.7,1.7,60,83
234,22,176,86.4,2070,122,3,45,7.5,3.5,75,84.4
235,48,187,70.8,3575,152,0,50,7.7,3.8,90,78.5
236,23,156,91.8,2954,87,0,60,8.9,2.2,75,94.2
237,24,166,60.7,2405,159,5,60,6.6,3.4,120,60.6
238,40,151,75.5,2710,151,1,20,8.2,3.6,60,77.1
239,47,163,77.7,2926,166,1,75,7.7,2.6,30,78.5
240,25,151,96.4,1947,87,3,90,5.3,1.6,90,92.9
241,47,164,93.5,2255,92,6,60,4.6,3.1,45,92.4
242,45,174,48.3,2379,97,4,20,7.1,3.8,90,47.9
243,38,162,74.1,2574,170,5,60,7.3,3.1,60,74.5
244,47,189,57.8,2718,66,2,50,5,2.1,45,58.1
245,27,182,70.1,2064,143,6,30,6.7,2.9,120,69
246,29,185,57.5,2683,80,2,50,8.3,3.2,60,59.8
247,49,158,59.1,3072,188,7,60,7.6,2.5,75,61.9
248,23,186,49.8,2403,119,0,45,5.5,2,75,50.2
249,49,185,77.1,1967,113,5,90,8.2,1.1,120,73.1
250,31,177,53.8,2513,121,0,75,5.7,4,30,54.1
251,25,165,60,2936,154,2,30,8,3.8,30,61.5
252,52,167,82,2189,127,4,45,7.1,4.3,90,82.3
253,24,158,102.9,3185,60,4,30,7.7,1.5,45,105.4
254,33,193,70.4,2082,113,6,60,6.5,3.2,30,69.4
255,35,194,101.4,3011,161,7,50,7.1,4,120,104.7
256,47,190,85.9,2967,61,6,40,8.9,3.9,75,88
257,36,171,79.2,2034,189,7,50,8.5,3.7,30,77.9
258,47,151,55.1,2147,157,7,0,9,2.5,120,56.3
259,37,160,97.8,2622,68,5,45,4.9,3.3,120,97.4
260,43,190,65.4,2459,154,1,20,4.5,2.7,45,65.9
261,51,193,73.4,1533,132,1,60,7.6,2.7,45,71.3
262,24,156,65.9,2725,80,6,30,7.4,3.4,30,66.6
263,18,189,85.1,3302,134,3,30,8.6,3.2,75,90.7
264,23,156,56,2004,143,5,60,5.9,1.5,60,54.5
265,33,185,82.3,2667,51,4,40,6.8,2.8,120,83.5
266,21,165,76.2,1961,106,7,20,6.9,4.4,60,75.8
267,26,174,97.1,3223,138,2,75,8.8,3.7,30,99.1
268,18,166,60.3,1747,146,4,90,8,2.5,75,56.4
269,52,184,83.1,2636,66,4,20,6.8,1.7,45,83.8
270,43,187,84.2,1770,124,6,40,4.8,1.3,75,79.9
271,21,169,86,2219,75,0,30,7.7,1.6,60,85.8
272,34,160,69.2,2600,75,0,50,8.1,2,30,69.2
273,54,190,52.4,3364,175,5,0,6.7,3,60,55.7
274,24,186,86.4,1972,103,0,0,8.4,1,30,85.8
275,42,159,58.2,1644,186,6,40,5.9,2.5,120,52.6
276,22,186,69.3,3556,58,2,40,8.1,4.4,75,73.8
277,47,168,92.1,2772,128,1,90,6.6,2.3,60,93.8
278,37,189,61.8,3008,171,3,90,7.9,1.9,30,63.9
279,19,164,78.9,1539,130,0,60,8.3,3.5,30,77.2
280,33,176,76,1745,81,4,20,4.7,1.8,90,71.9
281,41,179,103.5,1847,69,2,60,4.8,3,75,100.9
282,26,165,64.6,2790,145,5,50,6.5,1.8,45,64.7
283,55,156,56.9,2173,160,7,50,6.3,2.9,45,56
284,47,166,96.6,1870,85,4,0,5.5,4,45,94.5
285,33,172,70.6,1700,121,4,30,4.6,2.4,75,67.4
286,53,165,53.4,1917,80,1,0,4.8,3.7,45,51.3
287,43,173,87.1,1844,111,1,0,9,1.7,120,84.6
288,26,155,99.6,2858,76,0,75,4.7,4.2,75,102.3
289,43,181,49.7,3247,89,5,40,8.6,2,75,54.4
290,20,189,83.3,2506,120,7,60,8.5,2.7,30,82.9
291,26,176,59.4,2520,184,0,60,8,2.3,90,62.1
292,40,186,76.6,3090,114,2,0,5.9,1.8,60,78.3
293,48,183,68.4,2453,85,1,40,7.5,1.9,120,68.4
294,32,186,96.3,3090,135,2,30,5.6,2.1,120,101.9
295,55,151,88.1,2940,190,2,40,8.3,3.8,75,91.7
296,29,181,50.2,1730,104,3,0,6.9,1,90,46.5
297,26,171,88.9,2825,60,0,30,7.1,4.2,30,90.7
298,41,154,69.3,3120,70,5,45,6,4.4,120,74.6
299,49,191,66.1,2961,102,2,60,5.9,3.4,45,66.9
300,18,194,102.1,3103,190,0,30,7.2,4.2,90,106.6
301,54,156,101.4,2076,129,1,40,6.1,2.1,120,100.5
302,23,195,86.2,2875,159,0,45,5.4,3.4,60,87.8
303,24,150,50.7,3294,152,2,60,6.7,2.3,90,55.6
304,48,186,85.1,2423,86,7,20,8.1,1.1,30,84.7
305,24,154,67.5,3037,86,1,90,8.7,4.4,60,70.5
306,48,195,49.8,2175,156,2,0,5,1.7,45,49.2
307,53,184,63.1,2653,121,3,20,4.7,3,75,63.4
308,41,150,72.4,2706,167,3,20,4.6,1.6,60,74.6
309,48,157,65.6,3128,165,7,45,4.9,2.9,45,66.9
310,42,173,58.6,1682,112,7,75,5.7,3.9,90,52.5
311,24,155,86.1,3195,103,0,60,8.2,2.5,90,91.6
312,48,186,98.3,3450,121,1,60,8.6,3.5,90,105
313,51,186,86.6,2103,75,7,30,8.8,1.6,45,86.5
314,26,152,72.1,3283,96,2,45,5.9,3.5,30,72.8
315,53,175,79.5,2631,178,7,0,8,3.2,90,82.8
316,25,176,56.5,1910,72,1,45,8.4,4.1,75,54.5
317,49,186,82.7,1653,89,4,60,5.1,3.1,120,76.2
318,43,171,87.4,1701,166,4,50,4.6,3.9,60,84.4
319,49,194,87,2433,79,4,75,8,2.1,120,86.6
320,23,162,73.2,3167,169,5,0,6.8,1.6,60,76.9
321,43,158,92.5,1618,89,3,40,8.3,1.9,75,88.4
322,41,195,59.3,3008,163,6,20,7.6,1.8,75,62.7
323,29,180,81.5,2932,133,2,45,7.9,3.4,60,82.9
324,21,160,96.7,2377,101,3,40,5.7,2.4,30,97.4
325,18,180,100,2209,47,3,45,7.2,4.3,120,99.6
326,35,177,99,2928,162,4,40,6.6,3.4,90,102
327,24,150,77.2,3032,188,4,45,7.6,2.7,60,81
328,38,167,62.9,2723,93,2,90,7.9,4.1,90,64.7
329,38,193,56,1604,172,4,45,8.6,2.4,120,50.6
330,54,162,67.6,2410,181,7,50,6.8,4,120,68.4
331,29,168,53.6,2024,111,2,50,7.4,1.8,45,53.3
332,37,176,92.9,2857,140,4,45,6.6,1.4,30,94.5
333,55,187,101.8,1791,165,3,90,5,3.4,90,97.8
334,21,159,55.8,2320,132,6,75,5.1,4,45,55.7
335,49,171,84,2224,125,0,0,6.5,1.7,45,84
336,28,181,92.8,1860,78,6,60,6.3,4.4,75,88.7
337,52,162,89.6,1557,127,3,0,7.5,3.2,45,87.3
338,40,169,55.3,3071,173,4,30,4.8,1.2,60,57.5
339,51,188,77.9,3276,79,5,75,6.1,1.7,75,79.7
340,32,158,60,1589,174,2,20,6.1,3.3,30,58.6
341,34,184,83.5,1696,72,0,0,7.6,2.5,75,80.1
342,34,180,88,2341,47,4,60,7.5,3.3,60,87.8
343,26,176,95.3,1929,175,1,45,5,1.4,45,94.4
344,34,183,103.5,2966,149,4,30,4.7,2.7,45,105.4
345,48,171,61.4,1552,67,1,75,5.2,1.3,90,55.5
346,24,166,84.7,3370,120,4,75,4.7,3.8,30,87
347,41,193,65.8,1974,69,0,0,8.3,3.3,45,64.7
348,46,189,63.3,1880,140,5,30,5,2.4,75,60.3
349,42,194,96.5,3227,87,1,30,7.6,1.2,45,98
350,55,180,93.7,3294,91,6,50,7.3,4,120,100.5
351,26,180,100.5,1962,150,7,0,4.8,3.3,30,100.4
352,51,186,89.3,2417,131,1,60,7.5,1.9,60,90.2
353,42,159,95.8,1723,47,2,90,8.3,4,45,93.2
354,49,170,61.7,2639,57,3,90,7.4,2.4,45,61.1
355,46,186,73.5,3541,159,5,20,8.9,3.6,30,75.1
356,44,152,79.8,1500,68,4,90,7,3.3,75,76.2
357,41,153,94.5,3361,129,7,50,7.7,1.4,120,100.2
358,39,172,95.3,2695,185,5,20,4.7,1.6,45,96.8
359,44,156,62.5,2302,93,1,60,5.5,3.9,45,62.8
360,24,176,50.7,2004,160,7,90,5.1,2.7,90,47.4
361,53,177,95.8,3478,175,2,30,7.8,1.4,75,101.7
362,38,182,98.2,3214,108,4,60,8.8,4.4,75,102.8
363,26,176,82.3,3598,121,5,90,7.3,1.7,90,88.3
364,40,193,55.6,2228,173,5,20,7.9,3,90,55.9
365,44,193,90.6,2671,153,0,90,5,2.3,30,91.6
366,30,167,90.8,2159,118,4,30,8.3,3.4,60,89.8
367,52,152,68.4,3353,71,3,90,6.2,2.8,120,73.6
368,21,174,70.1,2780,186,0,0,7.8,1.7,75,73.6
369,41,187,79.2,2304,94,4,75,5.3,3.4,45,79.6
370,50,157,69.5,3255,116,4,30,5.2,4,30,70.7
371,27,152,56.8,2821,58,4,75,8.1,2.9,30,58
372,38,183,60.5,2253,178,1,90,5.2,2.9,75,59.3
373,32,163,85.8,2856,137,4,40,8.8,3.2,75,89.6
374,18,157,86.1,3325,106,3,0,7.6,2.1,30,87.7
375,52,168,49.4,3035,176,7,75,4.7,4.1,45,50.1
376,23,156,57.5,1530,61,3,40,8.4,2.5,30,55.4
377,45,191,94.6,1795,84,0,75,7.7,1.1,30,92.7
378,34,185,52,2432,111,6,60,6.5,2.4,60,50.6
379,25,184,48.3,1759,56,1,50,8.7,1.4,120,44.1
380,23,168,91.6,3292,142,6,0,6.6,2.9,45,94.9
381,52,168,102.7,2090,121,5,0,7,2.9,30,101.4
382,54,188,70.5,1848,123,3,50,5.5,4.2,90,66.8
383,29,164,83.2,2535,94,1,30,7.5,3,30,84.4
384,53,179,84.7,1799,119,1,45,4.9,3.5,75,83.1
385,40,158,86.3,2460,70,4,20,8.6,2.1,75,86.6
386,37,194,81.3,2992,125,6,30,4.5,1.9,45,83
387,45,167,95.9,2050,129,7,75,6.5,3.7,75,93.6
388,29,191,82.6,2649,80,3,45,7.8,3.2,120,83.7
389,19,182,84,3159,99,0,90,5.7,4.1,90,88.3
390,27,173,70.4,2691,79,7,90,6.8,2.4,90,69
391,33,189,87,2074,159,2,30,7,3,45,87.1
392,48,172,50.3,3497,104,1,45,6.2,1.1,45,53.2
393,41,174,74.8,3362,56,0,50,5,4.4,120,82.1
394,34,187,79,2212,141,6,50,7.1,4.1,30,78.8
395,42,164,77.4,2945,133,7,75,8.5,1,45,78.3
396,32,154,77.3,2650,99,2,30,5.2,3.1,30,78.1
397,44,171,89.1,3472,167,7,40,7.2,3.3,75,92.9
398,20,158,80.7,2159,79,0,30,4.8,1.9,45,80
399,43,188,103.2,1576,117,1,40,6.5,4.5,75,99.4
400,44,188,56.1,2244,175,4,30,7.8,2.2,75,56.4
401,22,164,69.6,2041,72,0,40,6.9,4.2,120,67.5
402,27,188,53.5,3449,54,1,20,6.7,1.5,90,59.2
403,18,193,85,3223,139,0,90,6.4,4.3,75,90
404,42,172,81.6,1900,153,2,45,6.6,1.8,30,80.4
405,52,176,62.7,1522,46,1,90,4.5,3.3,120,56.3
406,44,173,54.1,3245,109,4,90,6.4,2.3,60,57.6
407,43,163,71.6,3476,90,5,90,7,1.9,60,74.8
408,43,158,96.7,1987,103,7,30,5,2.8,60,95.5
409,21,160,70.2,1521,68,2,75,8.7,2.5,30,68.2
410,41,155,82.7,3074,147,4,0,8.8,3.9,120,89.4
411,18,162,96.5,2671,94,0,90,6.8,1.8,45,97.8
412,41,165,85.3,2144,67,4,60,6.1,2.4,90,82.6
413,18,195,51.9,1869,185,4,90,8.6,2.2,60,49.6
414,30,179,101,1519,111,2,60,6.8,3,90,96.1
415,25,182,102.5,2524,158,6,75,8,3.7,75,103.3
416,55,151,75.5,2556,62,6,40,7.5,1.8,60,75.6
417,40,183,78.5,2578,108,4,20,6.3,3.6,60,78.4
418,29,180,65.9,2395,113,2,40,6.7,1.7,120,65.7
419,34,163,61.1,2522,136,2,20,5,1.3,120,62.1
420,18,184,102.6,3475,140,5,75,8.5,4.1,90,109.1
421,49,161,104.1,3593,116,6,40,7.9,1.4,90,111
422,48,184,49.9,2922,145,2,75,8.9,3.4,75,52.6
423,18,150,86.4,3054,70,5,50,7.3,1.9,90,88.9
424,35,180,102.6,2905,138,2,75,6.4,2.5,60,104.2
425,43,167,73.7,2037,103,1,45,8.1,2.9,75,72.1
426,27,180,93.9,2223,152,7,30,9,4,90,93.9
427,38,181,65.1,1695,146,1,30,4.8,3.8,75,63
428,24,178,90.4,2564,137,5,90,7,3.8,60,89.5
429,25,172,97.4,2314,182,2,45,6.1,3.4,75,98.2
